Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,PointsFromRushingYards,PFRY_PCT_TOTAL,RushingYardsPerAttempt,RushingTouchdowns,PointsFromRushingTDs,PFRTD_PCT_TOTAL,ReceivingTargets,Receptions,PointsFromRec,PFREC_PCT_TOTAL,ReceivingYards,PointsFromRecYds,PFRECY_PCT_TOTAL,ReceivingTouchdowns,PointsFromRecTDs,PFRECTD_PCT_TOTAL,Fumbles,FumblesLost,PointsFromFumblesLost,PFFUM_PCT_TOTAL,FantasyPointsPerGamePPR,FantasyPointsPPR
130,18003,Kenyan Drake,GB,RB,3,2,0,0,0,0,0,0,0,3,2,2,0.65,31,3.1,1,0,0,0,1,1,-2,-0.65,1,3.1
130,21854,Anthony McFarland Jr.,PIT,RB,3,0,0,0,0,0,0,0,0,2,2,2,0.65,11,1.1,0.35,0,0,0,1,0,0,0,1,3.1
133,21634,Derrick Gore,WAS,RB,6,3,26,2.6,1,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.6
134,23004,Adam Prentice,NO,FB,13,2,12,1.2,0.5,6,0,0,0,3,2,2,0.83,12,1.2,0.5,0,0,0,1,1,-2,-0.83,0.2,2.4
135,20904,Devine Ozigbo,DET,RB,3,3,5,0.5,0.22,1.7,0,0,0,1,1,1,0.43,8,0.8,0.35,0,0,0,0,0,0,0,0.8,2.3
136,21100,Jakob Johnson,LV,FB,13,0,0,0,0,0,0,0,0,2,1,1,0.45,12,1.2,0.55,0,0,0,0,0,0,0,0.2,2.2
137,23172,Tyrion Davis-Price,SF,RB,1,6,21,2.1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.1
137,22647,Chris Evans,CIN,RB,8,2,12,1.2,0.57,6,0,0,0,1,1,1,0.48,-1,-0.1,-0.05,0,0,0,0,0,0,0,0.3,2.1
139,23174,Zach Evans,LAR,RB,10,9,19,1.9,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.9
140,24204,Evan Hull,IND,RB,1,1,1,0.1,0.06,1,0,0,0,1,1,1,0.59,6,0.6,0.35,0,0,0,0,0,0,0,1.7,1.7
141,22676,Kene Nwangwu,MIN,RB,9,5,13,1.3,1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.3
141,22206,Reggie Gilliam,BUF,FB,17,0,0,0,0,0,0,0,0,1,1,1,0.77,3,0.3,0.23,0,0,0,0,0,0,0,0.1,1.3
143,21782,Jonathan Ward,TEN,RB,8,3,11,1.1,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.1
144,21970,James Robinson,GB,RB,1,1,2,0.2,0.2,2,0,0,0,1,1,1,1,-2,-0.2,-0.2,0,0,0,0,0,0,0,1,1
145,20074,Jason Cabinda,DET,FB,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,20191,Godwin Igwebuike,PIT,RB,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,20810,Travis Homer,CHI,RB,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,21765,JaMycal Hasty,NE,RB,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,20768,Myles Gaskin,MIN,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,23586,Julius Chestnut,TEN,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,13063,Taiwan Jones,NYG,RB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,18152,Dwayne Washington,DEN,RB,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,20900,Qadree Ollison,PIT,RB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,19548,Corey Clement,ARI,RB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,24310,Jordan Mims,NO,RB,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,23880,Malik Davis,DAL,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,23209,Mohamed Ibrahim,DET,RB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
