Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Jake Bobo,0,1.3,7.5,0,0,6.3,16.1,10.6,0,3.3,1.8,1.6,1.9,0,1.4,1.8,1.4,1.9,56.9
Jakobi Meyers,29.1,0,15.5,5.3,20.5,17.1,18,2.9,13.5,4.1,8.9,20.1,0,7.5,15.68,7.2,11.6,21.6,218.58
Jalen Brooks,0,0,0,0,0,0,0,0,0,7.9,0,3.4,0,0,0,0,0,1.1,12.4
Jalen Guyton,0,0,0,0,0,0,0,0,0,14.1,0,1.4,1.5,1.8,3.9,2.2,0,0,24.9
Jalen Nailor,0,0,0,0,0,0,0,0,0,2.6,0,0,0,3.3,0,0,0,0,5.9
Jalen Reagor,0,0,0,0,0,0,2.1,0,2.1,0,0,0,2.1,0,0,5.3,4.9,6,22.5
Jalen Tolbert,0,4.8,0,9.3,0,0,0,0,13.9,2.2,3.2,6.9,2.7,0,0,7.1,1.9,8.8,60.8
Jalin Hyatt,0,10.9,0,3,0,5.1,9.5,0,3.9,0,1.7,15.9,0,3.3,0,0,5.5,1.5,60.3
Jamal Agnew,0,1.5,6.9,0,0.1,0,7.5,0,0,0,0,0,0,0,15,2.2,7.3,0,40.5
Ja'Marr Chase,9.1,8.1,26.1,14.3,52.2,14,0,25.2,8.1,23.4,9.2,12.1,31.62,5.9,10.4,0,7.1,5.9,262.72
James Proche II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameson Williams,0,0,0,0,2.2,13.3,0,3.6,0,3.8,12.4,7.1,10,0.4,8.7,9.3,9.5,0,80.3
Jamison Crowder,0,0,0,0,4.1,0,0,22.5,6.3,0,3.2,0,0,0,0,0,0,1.8,37.9
Jason Brownlee,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7.8,4.8,0,16.6
Jauan Jennings,0,7.1,5.1,0,2.9,4.6,10.4,0,0,1.8,0,1.7,13.4,0,4.5,0,0,0,51.5
Jaxon Smith-Njigba,4.3,8.4,2,3.5,0,8.8,16.3,12.6,12.3,9.3,7,6.1,13.2,6.5,14.8,12.1,8.2,4.4,149.8
Jayden Reed,6.6,19.7,9.3,10.5,1.7,0,11.1,12.3,7,19.4,19.2,15,5.6,20.5,17.2,0,26.9,15.2,217.2
