Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Sam LaPorta,8.9,11.3,22.4,9.6,19.7,7.6,11.2,19.7,0,8,6.8,17.7,29,4.7,28.6,4.8,15.4,13.9,239.3
Sean McKeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Carlson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Sullivan,0,0,0,0,0,0,0,2.3,6.8,0,3,2.3,2.6,0,2.4,5.1,0,0,24.5
Stone Smartt,0,3.4,0,0,0,0,1.5,0,0,0,12.1,0,0,0,4.5,3.3,4.3,3.4,32.5
T.J. Hockenson,11.5,25.6,13.8,4.4,10.1,11,19.6,20.8,13.9,30.4,9.5,16,0,10.3,12.3,9.8,0,0,219
Tanner Conner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Hudson,0,0,5,3.8,0,0,0,0,8.5,9.3,8.9,5.8,7.5,10.1,9.9,1.5,6.8,3.1,80.2
Teagan Quitoriano,2.1,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3
Tommy Tremble,0,0,2.5,0,7.1,4.5,0,8.4,3.2,4.6,7.4,1.7,0,1.2,5.2,9.9,1.6,3.1,60.4
Travis Kelce,0,12.6,19.9,12,22.7,21.4,35.9,11.8,4.4,0,15.4,15.1,12.1,14.3,7.8,9.4,4.6,0,219.4
Travis Vokolek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre' McKitty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Wesco,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
Trey McBride,4.3,5.2,1.2,1.5,3.7,10.2,5.9,25.5,5.2,21.1,9.3,13,22.9,0,20.2,9.1,10.8,12.4,181.5
Tucker Fisk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,1.9
Tucker Kraft,0,0,0,2.5,0,0,0,0,0,1.6,5.2,9.5,6.7,10.4,15.7,10,10.8,6.1,78.5
Tyler Conklin,1.2,10,5.6,9.8,10.7,5.4,0,0,12.6,14,3.8,7.3,6.5,9.7,5.8,7.6,9.5,3.6,123.1
Tyler Higbee,7.9,4.2,12.1,11.4,4,3.8,1.7,9.5,0,0,2.7,19.9,5.5,0,7.6,6,12.2,0,108.5
Tyler Kroft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyree Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Dissly,3.7,6.5,0,0,0,1.4,0,0,0,4.2,1.9,3.1,0,1.3,2.9,1.6,0,13.6,40.2
Will Mallory,0,6.9,0,0,0,0,0,1.6,0,1.7,0,4.9,2.4,9.6,0,8.7,2.9,0,38.7
Zach Ertz,8.1,11.6,2.6,11.3,9,4.2,4.9,0,0,0,0,0,0,0,0,0,0,0,51.7
Zach Gentry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Kuntz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
