Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Keith Smith,0,0,0,0,3.8,0,0.9,0,0,0,0,1.6,0,0,0,0,0,0,6.3
Kendre Miller,0,0,4.4,1.8,13,2.2,0,2.9,4.1,0,0,0,0,0,0,0,0,14.9,43.3
Kene Nwangwu,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0.3,0.1,0,0,0,1.3
Kenneth Gainwell,11.4,0,5.8,6.1,3.4,2.7,7.6,5.6,9.3,0,1.5,5.6,9.7,2.8,2.1,10.9,6.68,6.2,97.38
Kenneth Walker III,10.7,18.4,30.6,13.9,0,17.9,13.1,8,2.7,19.7,2.6,0,0,9.4,20.2,6.6,16.5,9.1,199.4
Kenny McIntosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenyan Drake,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
Ke'Shawn Vaughn,0,0,0,2.9,0,0.9,0.7,0.1,1.8,0,0,0,0,0,0,0,0,0,6.4
Kevin Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,2.1,8.9,1.8,21.3
Khalil Herbert,11.4,6.8,3.5,22.2,7.6,0,0,0,0,0,6.1,5.8,0,0.8,2.2,19.1,20.9,6.1,112.5
Khari Blasingame,0,0,0,0,2.6,1.1,1.4,0,0,0,0,0,0,0.7,0,0,0,0,5.8
Kyle Juszczyk,0,0,0.3,1.7,12.6,1.9,0,0,0,10.6,0,0,0,0,4.6,1.5,5.3,0,38.5
Kyren Williams,17.4,28,8.5,27.7,7.7,21.8,0,0,0,0,0,38.4,20.2,14.3,24.5,16.4,30.1,0,255
La'Mical Perine,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,13.9,14
Latavius Murray,2.7,11.1,9.1,7.6,1.7,4.5,4.8,2.1,2,14.9,3.5,7.8,0,4,7.1,0,0,0,82.9
Leonard Fournette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4
Malik Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Breida,1.6,0.5,10.8,12.8,3.4,1.3,1.9,2.7,2.1,0.3,-0.1,2.6,0,1.6,4.1,1.3,0,0,46.9
Melvin Gordon III,0,0,7.5,5.4,0,0,0,0,0,0,0,0,0,0,0,0,7,-0.2,19.7
Michael Burton,1.3,0.3,0,0,2,0.2,-0.2,0,0,0,0,0,0.4,1.3,0,1.4,0,0,6.7
Michael Carter,3.8,2.1,1.3,4.1,5.2,0.5,0,0.2,8.4,0,0,7.4,2.5,0,6.7,0,13.7,2.9,58.8
Mike Boone,4.8,0,0,0.4,0,1.1,0,2.6,0.3,2.6,1.5,0,0,0,0,0,0,0,13.3
Miles Sanders,11.8,7.7,17.2,6.2,1.2,0,0,0,9.1,3,6.2,2.8,3.9,7.4,3.3,1.8,4.2,1.8,87.6
Mohamed Ibrahim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myles Gaskin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najee Harris,5.3,5.3,6.5,11.3,5,0,15.8,10.5,15.6,18.6,4.6,15.9,9.7,7.8,1.3,13.8,24.2,24.3,195.5
Nick Bawden,0,0,6.1,0,0,0,0,0,1.7,0,0,1.6,0,0.3,0,0,1.8,0,11.5
Nick Chubb,16.7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1
Owen Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Laird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Ricard,0,0,0,2.4,0,1.3,5.1,0,0,0,0,0,0,0,0,0,7.4,0,16.2
Patrick Taylor,2.2,0.1,5.9,0,2.7,0,0,0,0,0,0,2.5,2.9,7.2,2.2,1.3,3,0,30
Pierre Strong Jr.,0,6.1,2.7,4.9,0,0,2.5,9.2,1.2,0,1.5,0,2,0,3.1,2.2,0.9,6.5,42.8
Qadree Ollison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rachaad White,6.9,21.3,7.2,10.8,0,6.8,15.9,17.9,27.9,17.8,17.8,13,19.6,21.5,21.9,19.7,8.6,13.3,267.9
Raheem Blackshear,0,0,0,0,0,3.2,0,5.1,1.5,2.3,0,0,0.6,1.8,0,2,0,0.6,17.1
Raheem Mostert,13,25.7,45.2,5.5,15.8,34.2,6.1,10.6,14.5,0,10.3,21.4,12.1,23,18.3,12,0,0,267.7
Rashaad Penny,0,2.4,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1.6,4.8
Reggie Gilliam,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Rhamondre Stevenson,14.9,15,7.2,6,2.4,18,14.5,7,22.9,13.2,0,21.7,2.9,0,0,0,0,0,145.7
Rico Dowdle,2.4,5.3,13.6,2.7,1.5,1.2,0,4.5,0.8,13.9,4,9.6,3.2,12.2,3.2,0.4,0,13,91.5
Ronnie Rivers,0,1.4,0,7.7,0.1,2.3,0,0,0,0,0,0,0,0,0,2,1.4,5.2,20.1
Roschon Johnson,17.5,6.2,6.9,2.5,1.9,0,0,6.1,2.5,7.2,3,12.5,0,0.6,10,8.3,14.9,2,102.1
Royce Freeman,0,0,0,0,0,0,6.6,10.4,3.2,0,7.3,13.7,0,0.9,1.6,0,0,2.5,46.2
Salvon Ahmed,1.1,7.1,0,0,0,12.4,1.3,5.7,3.2,0,12.1,0,0,0,0,0,0,0,42.9
